2017-12-13 01:38:56 INFO  LoginInvalid:26 - starting test
2017-12-13 01:38:58 INFO  HomePage:43 - clicked on sign in[[ChromeDriver: chrome on XP (56295bceda2dfed88f011ca75b13e736)] -> xpath: //*[@id="header"]/div[2]/div/div/nav/div[1]/a]
2017-12-13 01:39:00 INFO  LoginInvalid:30 - Finished test
2017-12-13 02:00:58 INFO  LoginInvalid:26 - starting test
2017-12-13 02:01:01 INFO  HomePage:44 - clicked on sign in[[ChromeDriver: chrome on XP (bad49ce7f0b486b05d3c48ac31b13017)] -> xpath: //*[@id="header"]/div[2]/div/div/nav/div[1]/a]
2017-12-13 02:01:02 INFO  LoginInvalid:30 - Finished test
2017-12-13 20:38:16 INFO  LoginInvalid:26 - starting test
2017-12-13 20:38:21 INFO  HomePage:44 - clicked on sign in[[ChromeDriver: chrome on XP (3837be895a82bc522f5d45b4f7356911)] -> xpath: //*[@id="header"]/div[2]/div/div/nav/div[1]/a]
2017-12-13 20:38:23 INFO  LoginInvalid:30 - Finished test
2017-12-13 20:44:44 INFO  LoginInvalid:28 - starting test
2017-12-13 20:44:47 INFO  HomePage:44 - clicked on sign in[[ChromeDriver: chrome on XP (85ad26134e2dde002dcb0fb7b810f593)] -> xpath: //*[@id="header"]/div[2]/div/div/nav/div[1]/a]
2017-12-13 20:44:49 INFO  LoginInvalid:32 - Finished test
2017-12-13 21:03:49 INFO  LoginInvalid:28 - starting test
2017-12-13 21:03:52 INFO  HomePage:45 - clicked on sign in[[ChromeDriver: chrome on XP (719bb3b82456b16f76cffe4fe10fc7b3)] -> xpath: //*[@id="header"]/div[2]/div/div/nav/div[1]/a]
2017-12-13 21:03:53 INFO  LoginInvalid:32 - Finished test
2017-12-13 21:25:50 INFO  LoginInvalid:41 - starting test
2017-12-13 21:25:52 INFO  HomePage:45 - clicked on sign in[[ChromeDriver: chrome on XP (0a9a86e3f561242e7808709f23888d4c)] -> xpath: //*[@id="header"]/div[2]/div/div/nav/div[1]/a]
2017-12-13 21:25:54 INFO  LoginInvalid:45 - Finished test
2017-12-13 21:25:54 INFO  LoginInvalid:41 - starting test
2017-12-13 21:25:56 INFO  HomePage:45 - clicked on sign in[[ChromeDriver: chrome on XP (0a9a86e3f561242e7808709f23888d4c)] -> xpath: //*[@id="header"]/div[2]/div/div/nav/div[1]/a]
2017-12-13 21:25:57 INFO  LoginInvalid:45 - Finished test
2017-12-13 21:25:57 INFO  LoginInvalid:41 - starting test
2017-12-13 21:26:00 INFO  HomePage:45 - clicked on sign in[[ChromeDriver: chrome on XP (0a9a86e3f561242e7808709f23888d4c)] -> xpath: //*[@id="header"]/div[2]/div/div/nav/div[1]/a]
2017-12-13 21:26:02 INFO  LoginInvalid:45 - Finished test
2017-12-13 21:47:06 INFO  LoginInvalid:41 - starting test
2017-12-13 21:47:08 INFO  HomePage:45 - clicked on sign in[[ChromeDriver: chrome on XP (925113949f15d0e98614cea3bfbe8a6c)] -> xpath: //*[@id="header"]/div[2]/div/div/nav/div[1]/a]
2017-12-13 21:47:11 INFO  LoginInvalid:46 - Finished test
2017-12-13 21:47:11 INFO  LoginInvalid:41 - starting test
2017-12-13 21:47:13 INFO  HomePage:45 - clicked on sign in[[ChromeDriver: chrome on XP (925113949f15d0e98614cea3bfbe8a6c)] -> xpath: //*[@id="header"]/div[2]/div/div/nav/div[1]/a]
2017-12-13 21:47:14 INFO  LoginInvalid:46 - Finished test
2017-12-13 21:47:14 INFO  LoginInvalid:41 - starting test
2017-12-13 21:53:36 INFO  LoginInvalid:41 - starting test
2017-12-13 21:53:38 INFO  HomePage:45 - clicked on sign in[[ChromeDriver: chrome on XP (904cc1213af05ffa745e5efe1361d88b)] -> xpath: //*[@id="header"]/div[2]/div/div/nav/div[1]/a]
2017-12-13 21:53:40 INFO  LoginInvalid:46 - Finished test
2017-12-13 21:53:40 INFO  LoginInvalid:41 - starting test
